"DeviceId","DeviceName","OsPlatform","IsCompliant"
"d7b54b6077a6d726b82890baf633037c654ed053","SRV-LAB","Windows","Yes"
"104515c4ac8989a4d8b1b83b3fed819bc9de5e5e","SERVER-PROD","Windows","No"
"028d1776e69b6a79d536edcbacae68a3e28cd3fe","WORKSTATION-ABC316","Windows","Yes"
"8754F72F3382B30AFBADC06C9D5C56F055CB831F","VM-SEC-874","Windows","Yes"
"0E0FED53A7B8465311AB6A2192D7C0F44A59BBD2","SERVER-WORKLOAD","Windows","No"
"08A50700F781A8AD89FA670E9C2BB164DE8E4B1C","SRV-WORKLOAD","Windows","Yes"
"44AE8F18B1EC540C121EDEBCD655764D5C4CB40B","NODE-SEC525","Windows","No"
"7346F14EDCEDA764BEDF7307C15C5C34EB93AD3B","DESKTOP-LAB959","Windows","Yes"
"13747E0E07E0A14CBC2EEDC8A72754F79A7809DC","LAPTOP-DB887","Windows","Yes"
"CC91E07F518C7934B50035AC08935A071B6C87C5","DESKTOP-ABC256","Windows","Yes"
"014CC4FD58042E16ECCC9A4AC269A495277255AE","VM-DB-277","Windows","No"
"9E9B9BE20D8F707F4664D342C63E21DB5E379A37","VM-WORKLOAD-911","Windows","Yes"
"120214F536A9BC73436036B97019DBEE938C0A60","LAPTOP-SEC735","Windows","Yes"
"581C7935639DDAAF7A0FA7532A218A140D4375A9","LAPTOP-ABC554","Windows","Yes"
"ABA56CA69ECA1B8C31E408F387D9FFE41738AF7F","SRV-DEV","Windows","Yes"
"C64EF42C7E6DAAC34B1FB30B2290582CBF1FFC97","SERVER-DEV","Windows","Yes"
"FAD98D4D9E1B5D29731AC99D59207DA2B8412C94","DESKTOP-LAB199","Windows","No"
"5C4EC8F67C6321212E3EF98B367F09DAF0DCA76E","WORKSTATION-SEC245","Windows","Yes"
"1D98AF3814587D8A380593A47E12EFD8C3A21866","DESKTOP-LAB973","Windows","Yes"
"0368290411C039EA8D1355292C7DB0FB75F927D1","SERVER-SEC","Windows","Yes"
"8563C0260739D7908CB74BC1ED4E25599D442A05","DESKTOP-DB690","Windows","Yes"
"414A58479017B3088B1D77F55B34B00E272FE0EA","DESKTOP-WORKLOAD272","Windows","No"
"F630841F4008E40C8EFF2CBA9B8927F245EF5724","VM-PROD-432","Windows","Yes"
"E298BD42E1DA9920EAB7240F585F88A93B9CF7E5","WORKSTATION-WORKLOAD663","Windows","Yes"
"1B6EF791DB050B232671A436DD44A841136229B1","SERVER-DB","Windows","Yes"
"EC0DE64457422F57BE37032481B2248976A039CD","SERVER-LAB","Windows","No"
"57F6345B96261DAC7058EBA89B1A8B1CAC795105","VM-DEV-689","Windows","Yes"
"05D1C0DFF26AD8C81BA570EC6A12E5A0291BE577","VM-DB-229","Windows","Yes"
"45D09777EC47ACDF97744E9174A3D32972B03FD5","LAPTOP-SEC146","Windows","Yes"
"0C8E7017F9DF7EA9A073F7F5CB49CFC7A1A93026","DESKTOP-WORKLOAD683","Windows","Yes"
"AFA2FAFB794C0E650DE2479654A757548C326CAD","VM-WORKLOAD-239","Windows","No"
"9676404BB336D96A29498DD9C48DB4BFCA0295FF","VM-PROD-945","Windows","Yes"
"78D1E311AA303305D94F2DBF9C92440B0A0F8A91","DESKTOP-ABC944","Windows","Yes"
"BAC089C7422C54586FC3046D132909554CA29BFB","WORKSTATION-SEC237","Windows","Yes"
"385830611E202FD649467F0DDE926350ACAF0D3F","DESKTOP-WORKLOAD893","Windows","No"
"14956D04A51DC129D7B60BF29566C4C007E3253C","VM-SEC-798","Windows","Yes"
"C15EA3808D3DB083B8F2822590074889B4491A22","DESKTOP-ABC771","Windows","No"
"17A837F2E75C11353428F6F88549AFBEE89086F2","WORKSTATION-ABC801","Windows","No"
"3ECBCDE1779D79E5E2C52BD5E90EB29D8B752C48","VM-DEV-930","Windows","Yes"
"8C8D13E13180E5EF95D1B437D20B4584A7BD0B0A","SRV-DB","Windows","Yes"
"B083A13E6B732A9BCEC173F0E94EC1A97D7CF2D9","WORKSTATION-DB461","Windows","No"
"3FFB936C8EA6573EA7571CF88C224809853199D2","WORKSTATION-WORKLOAD336","Windows","Yes"
"70E95D281B44C5061235EE1AE342C576A48EDDC8","WORKSTATION-DB296","Windows","Yes"
"CDD04030BA27B408B7060FAB423C195A5014E3C4","NODE-LAB394","Windows","Yes"
"D7A4A04CA7F26D4858E02266F80B3D03B818D766","LAPTOP-DEV214","Windows","No"
"B2AC5D53B4C9184986C9B8DA14775925AD1A83D2","VM-DB-315","Windows","Yes"
"3933484CCDD20415F385BFE81073243E025396D3","SRV-ABC","Windows","Yes"
"19344195EA15D5F11C2ABC0D5D8C1B9A1F19BF3B","LAPTOP-PROD787","Windows","Yes"
"F0AAC068661B2D361C34F5AA46C3B87A9800F470","VM-SEC-835","Windows","Yes"
"582AFBD1CB806943EF6C72146042A2E74C16BD7A","DESKTOP-ABC850","Windows","Yes"
"10C9882037DA8637121C24FA654A5CCA90244EE4","DESKTOP-DEV189","Windows","Yes"
"12F5D218F612B5FCD5888C6EA2214EC39A8B3E49","NODE-LAB945","Windows","Yes"
"BFD2F3CDDC42421EA0F893F637041C26B69DEE7F","DESKTOP-ABC517","Windows","Yes"
"89B85F68995F9168047F1B35AB4099D8042388A9","SRV-PROD","Windows","No"
"315451FC4A36D9022BD9D8383C3D6C0568AC62D4","LAPTOP-SEC928","Windows","Yes"
"AB492E673A886C0D8703884FA80F3DCBD4B29306","NODE-LAB478","Windows","Yes"
"C59DF30989E79D06363901A5B4C27DAEE37AEFBD","VM-DEV-67","Windows","Yes"
"618D239B5C5C90AE1BC49FC58D37BB389CDAE1B2","DESKTOP-LAB296","Windows","Yes"
"5C26EFDCDE079E2EFA5C60D11B8BF647237EAC65","DESKTOP-WORKLOAD121","Windows","No"
"DBFD3AD48838E093EE616965DB77C963A46B88D7","WORKSTATION-LAB332","Windows","Yes"
"B72EBBA0CDE6D1371F4AEB641AD33A769F5EFC1D","DESKTOP-ABC684","Windows","No"
"057D95CB1D6B4D650D5F2828C4C57043B6D0F3CB","WORKSTATION-SEC351","Windows","Yes"
"B4EC4A80F2AABB61E838C8D20640424A08C842C5","WORKSTATION-ABC895","Windows","Yes"
"4535F211967527052E3E215341CF4B8921029495","LAPTOP-LAB990","Windows","Yes"
"1F2EDDE5D75C0A52C3ACD97BD1FBBCD6428E2239","LAPTOP-LAB629","Windows","Yes"
"4F13E9B4E946BC4998C6C71F3DF8E676A4570F1B","DESKTOP-DB955","Windows","Yes"
"C87AD4091B2CB4F73431B58BFCFE233AA1E29B38","LAPTOP-DB179","Windows","Yes"
"C5124F2D75514EE29E54DDD0CE50C610AA317267","DESKTOP-LAB780","Windows","No"
"300AB3F04BC4BEA427F1EABA348CC1B68FE2A2BB","SERVER-ABC","Windows","Yes"
"A48B438DA0B4C5C982987B9C6FB99B147453EE6F","LAPTOP-SEC427","Windows","Yes"
"6A3B39BC5B92ECF086C41CD788E433D2E91B6373","LAPTOP-WORKLOAD463","Windows","Yes"
"0AA4C5D71AF94BA38F31CEFB45514CA970EA81B5","VM-DB-642","Windows","Yes"
"2B3F250C0B272D3EFBB6B173D315CD70C2C7DE62","NODE-SEC574","Windows","No"
"0055AED439A9727BDC769F6D7C9622AA6705D022","NODE-ABC271","Windows","Yes"
"713EEE9345A938DA175DB7B84CD9C0B9E199ADE9","VM-PROD-449","Windows","No"
"9C41F2A9D39FEC7B4B362C4B00E0469ABA0EF976","WORKSTATION-SEC991","Windows","Yes"
"892CB49D594CD022A67AED0F82C5FDB48B54F854","LAPTOP-LAB206","Windows","Yes"
"D4F9CCAA32E54D4422F5EE718ED45E79B29CF386","VM-DEV-706","Windows","Yes"
"1F62B7B6DB27C52350FA0F6035D72F158AFC9DD5","WORKSTATION-PROD373","Windows","Yes"
"A9834C7C38EAE2C6CCC505088B831712E15FA9D5","NODE-DB892","Windows","No"
"165750B8382F22223ABBE229E0B598D696919938","NODE-DB184","Windows","Yes"
"4C23B298824E7B321AA7BF0A00144ED3386E5FD7","WORKSTATION-DEV770","Windows","Yes"
"A71B1BECE30AD44CB8703569BEC2D26A52C9A667","VM-ABC-435","Windows","Yes"
"1365944AE0EC5CD1C5CE682DC43E4E01456FA897","VM-WORKLOAD-582","Windows","No"
"064E4B7849DABC37307BBDEA0383498F0EFA8941","LAPTOP-DB854","Windows","Yes"
"26D4BD75620F7AE45CD4C5E5FD3AD54CED92EC91","DESKTOP-SEC455","Windows","Yes"
"62622BC34CDA956D4C86570AC110BCE1A6B81EFE","WORKSTATION-DB433","Windows","No"
"658F251181EC994D9B791C38902914B1EF58CE11","DESKTOP-DEV514","Windows","Yes"
"196728E47C158F8F33B6EC7781AFBE9B960C8A8D","NODE-DB905","Windows","Yes"
"B8251C41241D3AE41CD84BAD1C1D3CE6E53CD9B7","NODE-WORKLOAD707","Windows","No"
"D9AAEA5974039AC73DA93B60C2B376ED81E77F82","LAPTOP-ABC249","Windows","Yes"
"DD1C0D709713CCB30C23A5E0BE241FE444EDC183","LAPTOP-WORKLOAD502","Windows","Yes"
"08EB2F99008A76A9350F1CA912FE486A459C49C0","NODE-DB451","Windows","Yes"
"CCA5F58EF16E747720162C5D76C5FC18A6A0356D","WORKSTATION-ABC917","Windows","Yes"
"76AE299BECFD2EE3469F3A45BD77C288AFCB9443","LAPTOP-ABC168","Windows","No"
"969D32B7B043811775DCC65E3AD699DC821E165F","DESKTOP-PROD809","Windows","Yes"
"D2C7821F1416D86BE9F373F08551D3E538C86634","WORKSTATION-DEV241","Windows","Yes"
"051A418D90F76E6DCB5EC12702CA813EC0625A74","DESKTOP-DB272","Windows","Yes"
"AFA426416BEB3CD197CB29BD653D26CB60A9F568","LAPTOP-DB243","Windows","No"
"B1C691989A86932C0439EF91ECCFC940A4A919FB","NODE-DB942","Windows","Yes"